29567;1;1;0;0;0;0;;
118372;0;1;1;1;2;0;;
111473;0;0;1;1;1;0;;
112434;1;0;1;1;1;0;;
11499;1;0;0;0;1;1;;
120408;0;2;0;1;0;1;;
117029;0;0;1;1;1;1;;
10978;1;0;0;0;0;0;;
115863;1;1;0;1;0;1;;
119695;0;0;0;1;0;0;;
71098;1;0;0;0;0;0;;
69618;1;0;0;1;1;0;;
30860;0;0;0;0;1;0;;
109211;1;0;3;2;3;2;;
110084;0;0;0;0;1;0;;
19379;1;0;0;0;0;0;;
90949;0;0;0;1;1;0;;
34050;1;1;2;2;2;3;;
121288;0;0;0;1;0;0;;
64963;0;0;1;0;0;0;;
24815;0;0;0;0;1;0;;
89984;0;1;1;1;1;1;;
119647;0;0;0;1;0;1;;
50395;0;0;0;1;0;0;;
115601;0;0;0;1;0;0;;
4721;0;0;0;0;1;0;;
135;1;0;0;1;1;0;;
35232;0;1;1;1;1;0;;
109828;0;0;0;0;1;0;;
121352;0;0;1;0;1;0;;
118247;1;0;2;1;2;1;;
27802;0;0;0;1;0;0;;
115890;2;1;1;0;0;0;;
113382;0;0;0;1;0;0;;
102763;0;0;1;1;1;0;;
120154;2;0;0;0;1;1;;
31143;0;0;0;0;1;0;;
121044;0;0;0;0;1;0;;
109080;1;1;2;2;3;1;;
73841;0;1;2;2;3;2;;
89215;0;0;0;0;1;0;;
114477;2;1;1;1;1;1;;
112894;0;1;2;2;2;2;;
46700;0;0;1;1;1;1;;
12497;2;1;1;1;1;1;;
66173;0;0;0;0;1;0;;
120589;0;0;0;0;1;1;;
109628;0;0;1;2;2;2;;
113013;0;0;1;0;1;0;;
110981;2;1;2;1;1;1;;
83845;3;0;0;0;0;0;;
85845;0;0;0;0;0;1;;
106737;0;0;1;1;0;1;;
115944;0;0;1;0;0;0;;
30329;1;0;1;1;0;1;;
120947;2;0;0;1;0;0;;
46902;0;1;1;1;0;0;;
107220;1;0;0;0;0;0;;
111484;0;1;2;3;2;2;;
120748;0;0;0;0;0;1;;
27361;3;0;2;0;0;0;;
117333;1;0;0;1;0;0;;
121148;1;0;0;0;0;0;;
10239;0;0;0;0;1;0;;
113426;0;0;0;1;1;1;;
27289;0;0;0;0;1;0;;
74802;1;0;0;0;0;0;;
121075;1;0;0;0;0;0;;
71039;1;0;0;0;0;0;;
101680;1;0;4;4;4;4;;
113082;1;0;0;0;0;0;;
42757;1;0;0;0;0;0;;
119766;0;0;0;1;0;0;;
112814;0;0;0;0;0;1;;
109594;1;0;1;0;0;1;;
121273;0;0;0;1;1;1;;
